pr_gene_id	pr_gene_symbol	pr_gene_title	pr_is_lm	pr_is_bing
9552	SPAG7	sperm associated antigen 7	1	1
8882	ZPR1	ZPR1 zinc finger	0	1
6881	TAF10	TATA-box binding protein associated factor 10	0	1
10438	C1D	C1D nuclear receptor corepressor	0	1
4841	NONO	non-POU domain containing, octamer-binding	0	1
23020	SNRNP200	small nuclear ribonucleoprotein, U5 200kDa subunit	0	1
387	RHOA	ras homolog family member A	1	1
10921	RNPS1	RNA binding protein S1, serine-rich domain	1	1
6229	RPS24	ribosomal protein S24	0	1
6156	RPL30	ribosomal protein L30	0	1
3326	HSP90AB1	heat shock protein 90kDa alpha family class B member 1	0	1
375	ARF1	ADP ribosylation factor 1	0	1
3550	IK	IK cytokine, down-regulator of HLA II	0	1
8724	SNX3	sorting nexin 3	0	1
27013	CNPPD1	cyclin Pas1/PHO80 domain containing 1	0	1
10285	SMNDC1	survival motor neuron domain containing 1	1	1
4670	HNRNPM	heterogeneous nuclear ribonucleoprotein M	0	1
9045	RPL14	ribosomal protein L14	0	1
2987	GUK1	guanylate kinase 1	0	1
79036	KXD1	KxDL motif containing 1	0	1
533	ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b	1	1
6194	RPS6	ribosomal protein S6	1	1
23326	USP22	ubiquitin specific peptidase 22	1	1
6923	TCEB2	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)	0	1
1327	COX4I1	cytochrome c oxidase subunit IV isoform 1	0	1
10959	TMED2	transmembrane p24 trafficking protein 2	0	1
2339	FNTA	farnesyltransferase, CAAX box, alpha	0	1
6230	RPS25	ribosomal protein S25	0	1
6167	RPL37	ribosomal protein L37	0	1
1938	EEF2	eukaryotic translation elongation factor 2	0	1
3190	HNRNPK	heterogeneous nuclear ribonucleoprotein K	0	1
51433	ANAPC5	anaphase promoting complex subunit 5	0	1
6189	RPS3A	ribosomal protein S3A	0	1
3192	HNRNPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	0	1
8661	EIF3A	eukaryotic translation initiation factor 3 subunit A	0	1
7184	HSP90B1	heat shock protein 90kDa beta family member 1	0	1
4478	MSN	moesin	0	1
81	ACTN4	actinin alpha 4	0	1
351	APP	amyloid beta precursor protein	1	1
5573	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	0	1
1832	DSP	desmoplakin	0	1
5885	RAD21	RAD21 cohesin complex component	0	1
4691	NCL	nucleolin	0	1
9948	WDR1	WD repeat domain 1	0	1
1173	AP2M1	adaptor related protein complex 2 mu 1 subunit	0	1
1213	CLTC	clathrin heavy chain	1	1
163	AP2B1	adaptor related protein complex 2 beta 1 subunit	0	1
9761	MLEC	malectin	1	1
3927	LASP1	LIM and SH3 protein 1	0	1
10992	SF3B2	splicing factor 3b subunit 2	0	1
9528	TMEM59	transmembrane protein 59	0	1
1465	CSRP1	cysteine and glycine rich protein 1	1	1
808	CALM3	calmodulin 3 (phosphorylase kinase, delta)	1	1
9782	MATR3	matrin 3	0	1
10487	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	0	1
10728	PTGES3	prostaglandin E synthase 3	0	1
7453	WARS	tryptophanyl-tRNA synthetase	0	1
10397	NDRG1	N-myc downstream regulated 1	0	1
5216	PFN1	profilin 1	0	1
5792	PTPRF	protein tyrosine phosphatase, receptor type F	1	1
7534	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta	0	1
6647	SOD1	superoxide dismutase 1, soluble	0	1
65108	MARCKSL1	MARCKS-like 1	0	1
2752	GLUL	glutamate-ammonia ligase	0	1
4924	NUCB1	nucleobindin 1	0	1
3939	LDHA	lactate dehydrogenase A	0	1
10399	RACK1	receptor for activated C kinase 1	0	1
6746	SSR2	signal sequence receptor, beta (translocon-associated protein beta)	0	1
5034	P4HB	prolyl 4-hydroxylase subunit beta	0	1
292	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	0	1
5245	PHB	prohibitin	0	1
6282	S100A11	S100 calcium binding protein A11	0	1
5476	CTSA	cathepsin A	0	1
9804	TOMM20	translocase of outer mitochondrial membrane 20 homolog (yeast)	0	1
967	CD63	CD63 molecule	0	1
3337	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	1	1
7323	UBE2D3	ubiquitin conjugating enzyme E2D 3	0	1
7494	XBP1	X-box binding protein 1	1	1
6711	SPTBN1	spectrin beta, non-erythrocytic 1	0	1
9741	LAPTM4A	lysosomal protein transmembrane 4 alpha	0	1
6161	RPL32	ribosomal protein L32	0	1
975	CD81	CD81 molecule	0	1
754	PTTG1IP	pituitary tumor-transforming 1 interacting protein	0	1
2896	GRN	granulin	1	1
3146	HMGB1	high mobility group box 1	0	1
2739	GLO1	glyoxalase I	0	1
7332	UBE2L3	ubiquitin conjugating enzyme E2L 3	0	1
9295	SRSF11	serine/arginine-rich splicing factor 11	0	1
23450	SF3B3	splicing factor 3b subunit 3	0	1
3313	HSPA9	heat shock protein family A (Hsp70) member 9	0	1
10971	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta	0	1
57062	DDX24	DEAD-box helicase 24	0	1
5518	PPP2R1A	protein phosphatase 2 regulatory subunit A, alpha	0	1
3098	HK1	hexokinase 1	1	1
11014	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2	1	1
10577	NPC2	Niemann-Pick disease, type C2	0	1
8655	DYNLL1	dynein, light chain, LC8-type 1	0	1
1933	EEF1B2	eukaryotic translation elongation factor 1 beta 2	0	1
9516	LITAF	lipopolysaccharide-induced TNF factor	0	1
5589	PRKCSH	protein kinase C substrate 80K-H	0	1
2806	GOT2	glutamic-oxaloacetic transaminase 2	0	1
2280	FKBP1A	FK506 binding protein 1A	0	1
37	ACADVL	acyl-CoA dehydrogenase, very long chain	0	1
6500	SKP1	S-phase kinase-associated protein 1	1	1
22919	MAPRE1	microtubule associated protein RP/EB family member 1	0	1
23521	RPL13A	ribosomal protein L13a	0	1
10121	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	0	1
4076	CAPRIN1	cell cycle associated protein 1	0	1
5501	PPP1CC	protein phosphatase 1, catalytic subunit, gamma isozyme	0	1
10097	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	0	1
7803	PTP4A1	protein tyrosine phosphatase type IVA, member 1	0	1
377	ARF3	ADP ribosylation factor 3	0	1
2876	GPX1	glutathione peroxidase 1	0	1
5230	PGK1	phosphoglycerate kinase 1	0	1
6612	SUMO3	small ubiquitin-like modifier 3	0	1
6232	RPS27	ribosomal protein S27	0	1
1200	TPP1	tripeptidyl peptidase I	0	1
2782	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	0	1
4926	NUMA1	nuclear mitotic apparatus protein 1	0	1
5901	RAN	RAN, member RAS oncogene family	0	1
823	CAPN1	calpain 1	1	1
813	CALU	calumenin	1	1
4779	NFE2L1	nuclear factor, erythroid 2 like 1	0	1
10550	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5	0	1
1808	DPYSL2	dihydropyrimidinase like 2	0	1
6176	RPLP1	ribosomal protein, large, P1	0	1
1495	CTNNA1	catenin alpha 1	0	1
1509	CTSD	cathepsin D	1	1
4144	MAT2A	methionine adenosyltransferase 2A	1	1
3915	LAMC1	laminin subunit gamma 1	0	1
5757	PTMA	prothymosin, alpha	0	1
23196	FAM120A	family with sequence similarity 120A	0	1
9689	BZW1	basic leucine zipper and W2 domains 1	0	1
468	ATF4	activating transcription factor 4	0	1
6210	RPS15A	ribosomal protein S15a	0	1
308	ANXA5	annexin A5	0	1
3925	STMN1	stathmin 1	1	1
4035	LRP1	LDL receptor related protein 1	0	1
5695	PSMB7	proteasome subunit beta 7	0	1
8682	PEA15	phosphoprotein enriched in astrocytes 15	0	1
1891	ECH1	enoyl-CoA hydratase 1, peroxisomal	1	1
4953	ODC1	ornithine decarboxylase 1	0	1
8826	IQGAP1	IQ motif containing GTPase activating protein 1	1	1
2547	XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6	0	1
50	ACO2	aconitase 2	0	1
8404	SPARCL1	SPARC like 1	0	1
4170	MCL1	myeloid cell leukemia 1	0	1
3303	HSPA1A	heat shock protein family A (Hsp70) member 1A	1	1
6301	SARS	seryl-tRNA synthetase	0	1
7009	TMBIM6	transmembrane BAX inhibitor motif containing 6	0	1
10960	LMAN2	lectin, mannose binding 2	0	1
3329	HSPD1	heat shock protein family D (Hsp60) member 1	1	1
7791	ZYX	zyxin	0	1
1153	CIRBP	cold inducible RNA binding protein	1	1
10574	CCT7	chaperonin containing TCP1 subunit 7	0	1
5720	PSME1	proteasome activator subunit 1	1	1
5048	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	1	1
6204	RPS10	ribosomal protein S10	0	0
6209	RPS15	ribosomal protein S15	0	0
5714	PSMD8	proteasome 26S subunit, non-ATPase 8	0	1
3920	LAMP2	lysosomal associated membrane protein 2	0	1
6159	RPL29	ribosomal protein L29	0	1
2950	GSTP1	glutathione S-transferase pi 1	0	1
10525	HYOU1	hypoxia up-regulated 1	1	1
6633	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide	0	1
5351	PLOD1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	0	1
7756	ZNF207	zinc finger protein 207	0	1
5708	PSMD2	proteasome 26S subunit, non-ATPase 2	1	1
6319	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	0	1
5908	RAP1B	RAP1B, member of RAS oncogene family	0	1
6227	RPS21	ribosomal protein S21	0	1
10134	BCAP31	B-cell receptor-associated protein 31	0	1
1508	CTSB	cathepsin B	0	1
3735	KARS	lysyl-tRNA synthetase	0	1
2058	EPRS	glutamyl-prolyl-tRNA synthetase	1	1
9588	PRDX6	peroxiredoxin 6	0	1
5499	PPP1CA	protein phosphatase 1, catalytic subunit, alpha isozyme	0	1
51669	SARAF	store-operated calcium entry-associated regulatory factor	0	1
10768	AHCYL1	adenosylhomocysteinase like 1	0	1
9798	IST1	increased sodium tolerance 1 homolog (yeast)	0	1
2783	GNB2	guanine nucleotide binding protein (G protein), beta polypeptide 2	0	1
3015	H2AFZ	H2A histone family member Z	0	1
9611	NCOR1	nuclear receptor corepressor 1	0	1
6202	RPS8	ribosomal protein S8	0	1
23019	CNOT1	CCR4-NOT transcription complex subunit 1	0	1
1718	DHCR24	24-dehydrocholesterol reductase	0	1
8766	RAB11A	RAB11A, member RAS oncogene family	0	1
5660	PSAP	prosaposin	0	1
55905	RNF114	ring finger protein 114	0	1
11171	STRAP	serine/threonine kinase receptor associated protein	0	1
6281	S100A10	S100 calcium binding protein A10	0	1
10694	CCT8	chaperonin containing TCP1 subunit 8	0	1
10528	NOP56	NOP56 ribonucleoprotein	0	1
5689	PSMB1	proteasome subunit beta 1	0	1
10575	CCT4	chaperonin containing TCP1 subunit 4	0	1
2034	EPAS1	endothelial PAS domain protein 1	0	1
3301	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	0	1
5710	PSMD4	proteasome 26S subunit, non-ATPase 4	1	1
7385	UQCRC2	ubiquinol-cytochrome c reductase core protein II	0	1
1152	CKB	creatine kinase, brain	0	1
389	RHOC	ras homolog family member C	0	1
5223	PGAM1	phosphoglycerate mutase 1	1	1
6772	STAT1	signal transducer and activator of transcription 1	1	1
6745	SSR1	signal sequence receptor, alpha	0	1
6434	TRA2B	transformer 2 beta homolog (Drosophila)	0	1
2288	FKBP4	FK506 binding protein 4	1	1
3068	HDGF	hepatoma-derived growth factor	0	1
10724	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	0	1
4074	M6PR	mannose-6-phosphate receptor (cation dependent)	0	1
9403	SEP15	15 kDa selenoprotein	0	1
191	AHCY	adenosylhomocysteinase	0	1
23022	PALLD	palladin, cytoskeletal associated protein	0	1
6181	RPLP2	ribosomal protein, large, P2	0	1
7203	CCT3	chaperonin containing TCP1 subunit 3	0	1
1974	EIF4A2	eukaryotic translation initiation factor 4A2	0	1
5496	PPM1G	protein phosphatase, Mg2+/Mn2+ dependent 1G	0	1
3895	KTN1	kinectin 1	1	1
6734	SRPRA	SRP receptor alpha subunit	0	1
1912	PHC2	polyhomeotic homolog 2	0	1
694	BTG1	B-cell translocation gene 1, anti-proliferative	0	1
10945	KDELR1	KDEL endoplasmic reticulum protein retention receptor 1	0	1
3959	LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein	0	1
6520	SLC3A2	solute carrier family 3 (amino acid transporter heavy chain), member 2	0	1
1337	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	0	1
6228	RPS23	ribosomal protein S23	0	1
10972	TMED10	transmembrane p24 trafficking protein 10	1	1
7414	VCL	vinculin	0	1
10540	DCTN2	dynactin subunit 2	0	1
7913	DEK	DEK proto-oncogene	0	1
811	CALR	calreticulin	0	1
6132	RPL8	ribosomal protein L8	0	1
6125	RPL5	ribosomal protein L5	0	1
473	RERE	arginine-glutamic acid dipeptide (RE) repeats	0	1
3281	HSBP1	heat shock factor binding protein 1	0	1
3150	HMGN1	high mobility group nucleosome binding domain 1	0	1
22872	SEC31A	SEC31 homolog A, COPII coat complex component	0	1
2746	GLUD1	glutamate dehydrogenase 1	0	1
8079	MLF2	myeloid leukemia factor 2	0	1
6224	RPS20	ribosomal protein S20	0	1
10552	ARPC1A	actin related protein 2/3 complex subunit 1A	0	1
894	CCND2	cyclin D2	0	1
527	ATP6V0C	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c	0	0
10989	IMMT	inner membrane mitochondrial protein	0	1
6749	SSRP1	structure specific recognition protein 1	0	1
6386	SDCBP	syndecan binding protein	0	1
2521	FUS	FUS RNA binding protein	0	1
22928	SEPHS2	selenophosphate synthetase 2	0	1
6160	RPL31	ribosomal protein L31	0	1
7317	UBA1	ubiquitin like modifier activating enzyme 1	0	1
3983	ABLIM1	actin binding LIM protein 1	0	1
226	ALDOA	aldolase, fructose-bisphosphate A	1	1
5479	PPIB	peptidylprolyl isomerase B	0	1
27230	SERP1	stress-associated endoplasmic reticulum protein 1	0	1
10099	TSPAN3	tetraspanin 3	1	1
59	ACTA2	actin, alpha 2, smooth muscle, aorta	0	1
5538	PPT1	palmitoyl-protein thioesterase 1	0	1
8887	TAX1BP1	Tax1 (human T-cell leukemia virus type I) binding protein 1	0	1
4190	MDH1	malate dehydrogenase 1	0	1
5160	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	0	1
2778	GNAS	GNAS complex locus	1	1
309	ANXA6	annexin A6	0	1
966	CD59	CD59 molecule	0	1
710	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1	0	1
3091	HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	1	1
10155	TRIM28	tripartite motif containing 28	0	1
9784	SNX17	sorting nexin 17	0	1
10527	IPO7	importin 7	0	1
10970	CKAP4	cytoskeleton-associated protein 4	0	1
16	AARS	alanyl-tRNA synthetase	1	1
6748	SSR4	signal sequence receptor, delta	0	1
928	CD9	CD9 molecule	0	1
3032	HADHB	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit	0	1
10628	TXNIP	thioredoxin interacting protein	0	1
6184	RPN1	ribophorin I	1	1
301	ANXA1	annexin A1	0	1
10606	PAICS	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase	1	1
3728	JUP	junction plakoglobin	0	1
1964	EIF1AX	eukaryotic translation initiation factor 1A, X-linked	0	1
7533	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta	0	1
11034	DSTN	destrin (actin depolymerizing factor)	0	1
6879	TAF7	TATA-box binding protein associated factor 7	0	1
9669	EIF5B	eukaryotic translation initiation factor 5B	0	1
4267	CD99	CD99 molecule	0	1
3945	LDHB	lactate dehydrogenase B	0	1
3187	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)	0	1
10904	BLCAP	bladder cancer associated protein	1	1
120	ADD3	adducin 3	0	1
3033	HADH	hydroxyacyl-CoA dehydrogenase	1	1
5214	PFKP	phosphofructokinase, platelet	0	1
5886	RAD23A	RAD23 homolog A, nucleotide excision repair protein	0	1
2771	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	1	1
7052	TGM2	transglutaminase 2	0	1
1843	DUSP1	dual specificity phosphatase 1	0	1
5870	RAB6A	RAB6A, member RAS oncogene family	0	1
6222	RPS18	ribosomal protein S18	0	0
23646	PLD3	phospholipase D family member 3	0	1
8125	ANP32A	acidic nuclear phosphoprotein 32 family member A	0	1
9491	PSMF1	proteasome inhibitor subunit 1	1	1
10949	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	0	1
2804	GOLGB1	golgin B1	0	1
10398	MYL9	myosin light chain 9	1	1
2040	STOM	stomatin	0	1
5954	RCN1	reticulocalbin 1	0	1
8761	PABPC4	poly(A) binding protein, cytoplasmic 4 (inducible form)	0	1
1537	CYC1	cytochrome c1	0	1
5701	PSMC2	proteasome 26S subunit, ATPase 2	0	1
4313	MMP2	matrix metallopeptidase 2	1	1
23451	SF3B1	splicing factor 3b subunit 1	0	1
6599	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	1	1
4809	SNU13	SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)	0	1
9375	TM9SF2	transmembrane 9 superfamily member 2	1	1
9144	SYNGR2	synaptogyrin 2	0	1
8396	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase, type II, beta	1	1
9774	BCLAF1	BCL2 associated transcription factor 1	0	1
5829	PXN	paxillin	1	1
526	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	0	1
10376	TUBA1B	tubulin alpha 1b	0	1
5931	RBBP7	retinoblastoma binding protein 7	0	1
6389	SDHA	succinate dehydrogenase complex flavoprotein subunit A	0	1
6235	RPS29	ribosomal protein S29	0	1
1611	DAP	death-associated protein	0	1
378	ARF4	ADP ribosylation factor 4	0	1
9276	COPB2	coatomer protein complex subunit beta 2 (beta prime)	1	1
8239	USP9X	ubiquitin specific peptidase 9, X-linked	0	1
5211	PFKL	phosphofructokinase, liver	1	1
3956	LGALS1	lectin, galactoside-binding, soluble, 1	0	1
2879	GPX4	glutathione peroxidase 4	0	1
7057	THBS1	thrombospondin 1	0	1
1434	CSE1L	CSE1 chromosome segregation 1-like (yeast)	0	1
7284	TUFM	Tu translation elongation factor, mitochondrial	0	1
5688	PSMA7	proteasome subunit alpha 7	0	1
5425	POLD2	polymerase (DNA directed), delta 2, accessory subunit	0	1
1363	CPE	carboxypeptidase E	0	1
5226	PGD	phosphogluconate dehydrogenase	0	1
1351	COX8A	cytochrome c oxidase subunit VIIIA (ubiquitous)	0	1
10857	PGRMC1	progesterone receptor membrane component 1	1	1
1984	EIF5A	eukaryotic translation initiation factor 5A	0	1
3693	ITGB5	integrin subunit beta 5	1	1
4245	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	0	1
999	CDH1	cadherin 1	0	1
3188	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2 (H')	0	0
9867	PJA2	praja ring finger ubiquitin ligase 2	0	1
1350	COX7C	cytochrome c oxidase subunit VIIc	0	1
1892	ECHS1	enoyl-CoA hydratase, short chain, 1, mitochondrial	0	1
5355	PLP2	proteolipid protein 2 (colonic epithelium-enriched)	1	1
3115	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	0	1
6741	SSB	Sjogren syndrome antigen B	0	1
10457	GPNMB	glycoprotein (transmembrane) nmb	0	1
1965	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha	0	1
10456	HAX1	HCLS1 associated protein X-1	0	1
4780	NFE2L2	nuclear factor, erythroid 2 like 2	1	1
7078	TIMP3	TIMP metallopeptidase inhibitor 3	0	1
4154	MBNL1	muscleblind like splicing regulator 1	1	1
6124	RPL4	ribosomal protein L4	0	1
9927	MFN2	mitofusin 2	0	1
5878	RAB5C	RAB5C, member RAS oncogene family	0	1
4836	NMT1	N-myristoyltransferase 1	1	1
8531	YBX3	Y-box binding protein 3	0	1
9698	PUM1	pumilio RNA binding family member 1	0	1
396	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	0	1
8553	BHLHE40	basic helix-loop-helix family member e40	1	1
8992	ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	0	1
54386	TERF2IP	telomeric repeat binding factor 2, interacting protein	1	1
51075	TMX2	thioredoxin related transmembrane protein 2	0	1
372	ARCN1	archain 1	0	1
10054	UBA2	ubiquitin like modifier activating enzyme 2	0	1
25793	FBXO7	F-box protein 7	1	1
2773	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	0	1
1108	CHD4	chromodomain helicase DNA binding protein 4	0	1
5654	HTRA1	HtrA serine peptidase 1	1	1
4043	LRPAP1	LDL receptor related protein associated protein 1	1	1
3710	ITPR3	inositol 1,4,5-trisphosphate receptor, type 3	0	1
5306	PITPNA	phosphatidylinositol transfer protein alpha	0	1
3417	IDH1	isocitrate dehydrogenase 1 (NADP+)	0	1
6415	SEPW1	selenoprotein W, 1	0	1
8140	SLC7A5	solute carrier family 7 (amino acid transporter light chain, L system), member 5	0	1
262	AMD1	adenosylmethionine decarboxylase 1	0	1
5707	PSMD1	proteasome 26S subunit, non-ATPase 1	0	1
8804	CREG1	cellular repressor of E1A stimulated genes 1	1	1
1476	CSTB	cystatin B	0	1
5111	PCNA	proliferating cell nuclear antigen	1	1
6238	RRBP1	ribosome binding protein 1	0	1
7126	TNFAIP1	TNF alpha induced protein 1	0	1
3065	HDAC1	histone deacetylase 1	0	1
5641	LGMN	legumain	1	1
5510	PPP1R7	protein phosphatase 1 regulatory subunit 7	0	1
5358	PLS3	plastin 3	0	1
10961	ERP29	endoplasmic reticulum protein 29	0	1
6625	SNRNP70	small nuclear ribonucleoprotein, U1 70kDa subunit	0	1
5887	RAD23B	RAD23 homolog B, nucleotide excision repair protein	0	1
10250	SRRM1	serine/arginine repetitive matrix 1	0	1
4714	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	0	1
10425	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2	0	1
2023	ENO1	enolase 1, (alpha)	0	1
5719	PSMD13	proteasome 26S subunit, non-ATPase 13	0	1
3611	ILK	integrin linked kinase	1	1
7832	BTG2	BTG family member 2	0	1
830	CAPZA2	capping protein (actin filament) muscle Z-line, alpha 2	0	1
1653	DDX1	DEAD/H-box helicase 1	0	1
481	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	1	1
5894	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	0	1
6721	SREBF2	sterol regulatory element binding transcription factor 2	0	1
6513	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	0	1
5315	PKM	pyruvate kinase, muscle	0	1
5704	PSMC4	proteasome 26S subunit, ATPase 4	0	1
10423	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	0	1
9167	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like	0	1
6217	RPS16	ribosomal protein S16	0	1
6856	SYPL1	synaptophysin-like 1	1	1
6897	TARS	threonyl-tRNA synthetase	0	1
11316	COPE	coatomer protein complex subunit epsilon	0	1
7296	TXNRD1	thioredoxin reductase 1	1	1
5702	PSMC3	proteasome 26S subunit, ATPase 3	0	1
23386	NUDCD3	NudC domain containing 3	1	1
22913	RALY	RALY heterogeneous nuclear ribonucleoprotein	0	1
231	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	0	1
6726	SRP9	signal recognition particle 9kDa	0	1
5686	PSMA5	proteasome subunit alpha 5	0	1
2224	FDPS	farnesyl diphosphate synthase	0	1
5869	RAB5B	RAB5B, member RAS oncogene family	0	1
3182	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	0	1
1601	DAB2	Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)	0	1
11047	ADRM1	adhesion regulating molecule 1	0	1
4967	OGDH	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	0	1
327	APEH	acylaminoacyl-peptide hydrolase	0	1
23608	MKRN1	makorin ring finger protein 1	0	1
6382	SDC1	syndecan 1	0	1
397	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	0	1
3491	CYR61	cysteine rich angiogenic inducer 61	0	1
23478	SEC11A	SEC11 homolog A, signal peptidase complex subunit	0	1
7153	TOP2A	topoisomerase (DNA) II alpha	1	1
26118	WSB1	WD repeat and SOCS box containing 1	0	1
307	ANXA4	annexin A4	0	1
9775	EIF4A3	eukaryotic translation initiation factor 4A3	0	1
4698	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	0	1
10541	ANP32B	acidic nuclear phosphoprotein 32 family member B	0	1
55752	SEPT11	septin 11	0	1
9315	NREP	neuronal regeneration related protein	0	1
